movie_id,actor_id,order
1226863,73457,0
1226863,95101,1
1226863,1397778,2
1226863,70851,3
1226863,298410,4
83533,65731,0
83533,8691,1
83533,10205,2
83533,32747,3
83533,566331,4
687163,30614,0
687163,7152,1
687163,2096164,2
687163,2320708,3
687163,1454946,4
1290417,1232756,0
1290417,1842860,1
1290417,938,2
1290417,123879,3
1290417,1331950,4
1327819,1308818,0
1327819,452205,1
1327819,65717,2
1327819,11074,3
1327819,54697,4
502356,73457,0
502356,1397778,1
502356,95101,2
502356,70851,3
502356,298410,4
1290821,976,0
1290821,4088089,1
1290821,1537686,2
1290821,1670,3
1290821,17477,4
840464,17276,0
840464,54882,1
840464,2054851,2
840464,1754784,3
840464,85151,4
1171145,74568,0
1171145,103,1
1171145,4587,2
1171145,1290466,3
1171145,1525043,4
20222,228208,0
20222,947712,1
20222,71408,2
20222,941061,3
20222,590990,4
1297842,1474123,0
1297842,17773,1
1297842,1718307,2
1297842,1763709,3
1297842,1267240,4
1159559,9206,0
1159559,14405,1
1159559,1972974,2
1159559,1508653,3
1159559,2174509,4
1311031,1256603,0
1311031,9705,1
1311031,81244,2
1311031,119145,3
1311031,1253008,4
1198994,53714,0
1198994,527393,1
1198994,4477127,2
1198994,352,3
1198994,109438,4
1049471,6384,0
1049471,21007,1
1049471,6941,2
1049471,66743,3
1049471,194477,4
1265609,64295,0
1265609,6065,1
1265609,1388314,2
1265609,224181,3
1265609,65344,4
680493,225692,0
680493,1685904,1
680493,3131371,2
680493,2438347,3
680493,2486314,4
1010755,1592855,0
1010755,3901,1
1010755,1921268,2
1010755,222122,3
1010755,3188261,4
1084242,417,0
1084242,23532,1
1084242,690,2
1084242,1183672,3
1084242,62861,4
1193501,1464650,0
1193501,1008607,1
1193501,2388828,2
1193501,1993743,3
1193501,117995,4
1084187,1483976,0
1084187,1452046,1
1084187,963429,2
1084187,1815539,3
1084187,2749024,4
1159831,1498158,0
1159831,3894,1
1159831,133,2
1159831,37154,3
1159831,124377,4
1368166,115440,0
1368166,71070,1
1368166,1855143,2
1368166,2349355,3
1368166,20,4
350,5064,0
350,1813,1
350,5081,2
350,2283,3
350,1284159,4
1419406,18897,0
1419406,1173805,1
1419406,56861,2
1419406,3167855,3
1419406,1625880,4
755898,9778,0
755898,52605,1
755898,9048,2
755898,1632530,3
755898,60482,4
1266127,1372369,0
1266127,221192,1
1266127,109,2
1266127,11863,3
1266127,52647,4
1115544,11006,0
1115544,4937,1
1115544,1222992,2
1115544,65827,3
1115544,1304335,4
1234731,70851,0
1234731,22226,1
1234731,18324,2
1234731,9030,3
1234731,1784612,4
634649,1136406,0
634649,505710,1
634649,71580,2
634649,1649152,3
634649,15277,4
1316092,234352,0
1316092,2034418,1
1316092,1360317,2
1316092,2981449,3
1316092,1370832,4
77338,33161,0
77338,78423,1
77338,19370,2
77338,219708,3
77338,84430,4
157336,10297,0
157336,1813,1
157336,3895,2
157336,83002,3
157336,1893,4
7451,12835,0
7451,18514,1
7451,20982,2
7451,2231,3
7451,53347,4
1367642,1094091,0
1367642,3052321,1
1367642,1974046,2
1367642,11367,3
1367642,16858,4
615,8767,0
615,8768,1
615,8769,2
615,8770,3
615,28782,4
24428,3223,0
24428,16828,1
24428,103,2
24428,74568,3
24428,1245,4
875828,2037,0
875828,1290466,1
875828,933238,2
875828,3129,3
875828,1115,4
1272837,5469,0
1272837,85065,1
1272837,5107934,2
1272837,1672504,3
1272837,1344320,4
1168190,543530,0
1168190,117642,1
1168190,7242,2
1168190,54882,3
1168190,1298669,4
181808,2,0
181808,4,1
181808,1023139,2
181808,1315036,3
181808,236695,4
1242898,18050,0
1242898,3223391,1
1242898,1891826,2
1242898,2253146,3
1242898,1636658,4
299536,3223,0
299536,16828,1
299536,74568,2
299536,16851,3
299536,103,4
278,504,0
278,192,1
278,4029,2
278,6573,3
278,6574,4
803796,144279,0
803796,1948606,1
803796,2983147,2
803796,1571598,3
803796,28662,4
425274,44735,0
425274,3918497,1
425274,1767250,2
425274,1029934,3
425274,10882,4
238,3084,0
238,1158,1
238,3085,2
238,3087,3
238,3086,4
50619,37917,0
50619,11288,1
50619,84214,2
50619,21029,3
50619,56857,4
1010581,2527414,0
1010581,2786960,1
1010581,970027,2
1010581,1251336,3
1010581,4105602,4
1246049,572541,0
1246049,2491204,1
1246049,27319,2
1246049,1589101,3
1246049,2802762,4
1234821,1245,0
1234821,932967,1
1234821,80860,2
1234821,36669,3
1234821,1168097,4
324857,587506,0
324857,543505,1
324857,130640,2
324857,932967,3
324857,226366,4
1408208,33515,0
1408208,3576845,1
1408208,1287268,2
1408208,5428351,3
1408208,3661042,4
1117857,2444659,0
1117857,1908252,1
1117857,1489211,2
1117857,64342,3
1117857,204392,4
19995,65731,0
19995,8691,1
19995,10205,2
19995,32747,3
19995,17647,4
1387382,2461,0
1387382,444211,1
1387382,31384,2
1387382,1600083,3
1387382,60460,4
315635,1136406,0
315635,2232,1
315635,3223,2
315635,3141,3
315635,15277,4
299534,3223,0
299534,16828,1
299534,103,2
299534,74568,3
299534,1245,4
496243,20738,0
496243,115290,1
496243,556435,2
496243,1255881,3
496243,1442583,4
744275,1753914,0
744275,1114487,1
744275,86653,2
744275,20805,3
744275,2035329,4
155,3894,0
155,1810,1
155,6383,2
155,3895,3
155,1579,4
1011985,70851,0
1011985,1625558,1
1011985,19492,2
1011985,4483,3
1011985,17419,4
76600,65731,0
76600,8691,1
76600,10205,2
76600,32747,3
76600,204,4
597,6193,0
597,204,1
597,1954,2
597,8534,3
597,3713,4
533535,10859,0
533535,6968,1
533535,2324569,2
533535,15576,3
533535,1464650,4
567609,1372369,0
567609,225411,1
567609,11702,2
567609,15319,3
567609,1533,4
1119449,6807,0
1119449,36594,1
1119449,1286328,2
1119449,454,3
1119449,1545693,4
402431,1765068,0
402431,226001,1
402431,1620,2
402431,80860,3
402431,2271410,4
677638,59297,0
677638,452205,1
677638,84075,2
677638,141956,3
677638,11662,4
1241470,94864,0
1241470,1492326,1
1241470,1094385,2
1241470,124304,3
1241470,2713,4
991494,78798,0
991494,6574,1
991494,70615,2
991494,34398,3
991494,78799,4
1306368,1892,0
1306368,880,1
1306368,964679,2
1306368,215055,3
1306368,5887,4
858024,1498158,0
858024,2326151,1
858024,1639,2
858024,1496392,3
858024,3115247,4
680,8891,0
680,2231,1
680,139,2
680,62,3
680,10182,4
129,19587,0
129,19588,1
129,19589,2
129,19590,3
129,19591,4
27205,6193,0
27205,24045,1
27205,3899,2
27205,2524,3
27205,27578,4
120,109,0
120,1327,1
120,110,2
120,1328,3
120,65,4
911430,287,0
911430,1837297,1
911430,3810,2
911430,62105,3
911430,10920,4
346364,1274508,0
346364,1559689,1
346364,1481238,2
346364,1442069,3
346364,1643043,4
603,6384,0
603,2975,1
603,530,2
603,1331,3
603,9364,4
122,109,0
122,1327,1
122,110,2
122,1328,3
122,1333,4
1167307,2507851,0
1167307,1822256,1
1167307,2805492,2
1167307,1677363,3
1167307,5981973,4
1054867,6193,0
1054867,2228,1
1054867,3914706,2
1054867,1121,3
1054867,35705,4
671,10980,0
671,10989,1
671,10990,2
671,194,3
671,10993,4
14836,501,0
14836,10742,1
14836,12094,2
14836,5539,3
14836,65827,4
38,206,0
38,204,1
38,205,2
38,103,3
38,109,4
13,31,0
13,32,1
13,33,2
13,35,3
13,34,4
1218925,3651176,0
1218925,1452028,1
1218925,2004086,2
1218925,2812912,3
1218925,1296667,4
1291608,224223,0
1291608,87328,1
1291608,85519,2
1291608,52263,3
1291608,85881,4
1241982,1564846,0
1241982,18918,1
1241982,4775908,2
1241982,1868823,3
1241982,55937,4
569094,587506,0
569094,130640,1
569094,226366,2
569094,141610,3
569094,543505,4
361743,500,0
361743,5576,1
361743,996701,2
361743,6161,3
361743,1241330,4
372058,225730,0
372058,1369100,1
372058,1668610,2
372058,936275,3
372058,1210634,4
424,3896,0
424,2282,1
424,5469,2
424,6692,3
424,6693,4
519182,4495,0
519182,41091,1
519182,23659,2
519182,63522,3
519182,17743,4
1228246,27972,0
1228246,2283930,1
1228246,1368507,2
1228246,26457,3
1228246,1824301,4
1015606,3061,0
1015606,17244,1
1015606,928830,2
1015606,2042908,3
1015606,1813472,4
497,31,0
497,52,1
497,5149,2
497,61981,3
497,2505,4
550,819,0
550,287,1
550,1283,2
550,7470,3
550,7499,4
335984,30614,0
335984,3,1
335984,224513,2
335984,543530,3
335984,32,4
1156594,2527414,0
1156594,2786960,1
1156594,3513082,2
1156594,970027,3
1156594,261,4
1184918,1267329,0
1184918,1253360,1
1184918,1538851,2
1184918,2440,3
1184918,1381186,4
10138,3223,0
10138,12052,1
10138,1896,2
10138,1245,3
10138,6807,4
872585,2037,0
872585,5081,1
872585,1892,2
872585,3223,3
872585,1373737,4
1038392,17178,0
1038392,21657,1
1038392,3011652,2
1038392,1452045,3
1038392,1355139,4
1062722,25072,0
1062722,2034418,1
1062722,27319,2
1062722,1137824,3
1062722,3631223,4
62029,67967,0
62029,10500,1
62029,7544,2
62029,122022,3
62029,1853096,4
798645,83271,0
798645,3905,1
798645,72095,2
798645,39995,3
798645,1331023,4
807,192,0
807,287,1
807,12052,2
807,12055,3
807,30487,4
769,380,0
769,11477,1
769,4517,2
769,11478,3
769,7004,4
575265,500,0
575265,39459,1
575265,10182,2
575265,11108,3
575265,65344,4
912649,2524,0
912649,5294,1
912649,36594,2
912649,7026,3
912649,1115,4
346698,234352,0
346698,30614,1
346698,59174,2
346698,1767250,3
346698,1455336,4
1314786,82700,0
1314786,1729881,1
1314786,28511,2
1314786,226431,3
1314786,1255923,4
1726,3223,0
1726,18288,1
1726,1229,2
1726,12052,3
1726,57451,4
808,12073,0
808,776,1
808,6941,2
808,12074,3
808,1925,4
105,521,0
105,1062,1
105,1064,2
105,1063,3
105,1066,4
693134,1190668,0
693134,505710,1
693134,933238,2
693134,3810,3
693134,16851,4
557,2219,0
557,5293,1
557,205,2
557,17051,3
557,19153,4
1292695,1545693,0
1292695,4687,1
1292695,2673750,2
1292695,19868,3
1292695,10993,4
1448560,3967,0
1448560,1610940,1
1448560,2506,2
1448560,4391,3
1448560,205725,4
67395,80116,0
67395,128672,1
67395,98133,2
67395,44777,3
67395,154642,4
102382,37625,0
102382,54693,1
102382,134,2
102382,122889,3
102382,10132,4
939243,206,0
939243,222121,1
939243,6384,2
939243,17605,3
939243,1212864,4
1196067,63,0
1196067,114019,1
1196067,2667928,2
1196067,956385,3
1196067,3214361,4
240,1158,0
240,3087,1
240,3092,2
240,380,3
240,3096,4
1087192,2803710,0
1087192,2064124,1
1087192,17276,2
1087192,11109,3
1087192,3792786,4
552524,3988423,0
552524,3025125,1
552524,66193,2
552524,58225,3
552524,141034,4
1317288,1190668,0
1317288,12052,1
1317288,1972166,2
1317288,1240877,3
1317288,1133834,4
438631,1190668,0
438631,933238,1
438631,25072,2
438631,117642,3
438631,1640,4
269149,417,0
269149,23532,1
269149,17605,2
269149,213001,3
269149,41565,4
862,31,0
862,12898,1
862,7167,2
862,12899,3
862,12900,4
4935,533325,0
4935,12670,1
4935,20338,2
4935,19592,3
4935,225730,4
617126,1253360,0
617126,556356,1
617126,21042,2
617126,1597365,3
617126,202032,4
1579,17678,0
1579,17688,1
1579,17689,2
1579,42009,3
1579,62477,4
1197306,976,0
1197306,973,1
1197306,17817,2
1197306,1011106,3
1197306,950125,4
429617,1136406,0
429617,131,1
429617,2231,2
429617,3141,3
429617,15277,4
574475,3480304,0
574475,1547148,1
574475,58724,2
574475,144852,3
574475,1482198,4
980477,2367355,0
980477,2367356,1
980477,2368846,2
980477,2368848,3
980477,2368849,4
564,18269,0
564,3293,1
564,10727,2
564,16743,3
564,18920,4
7131,6968,0
7131,3967,1
7131,12206,2
7131,74651,3
7131,1371,4
85,3,0
85,650,1
85,652,2
85,655,3
85,653,4
950396,996701,0
950396,1397778,1
950396,10205,2
950396,1479869,3
950396,84865,4
766507,1654001,0
766507,3675371,1
766507,87126,2
766507,3316731,3
766507,1061054,4
11,2,0
11,3,1
11,4,2
11,5,3
11,12248,4
670,64880,0
670,10112,1
670,1299317,2
670,77182,3
670,77180,4
559,2219,0
559,205,1
559,17051,2
559,19159,3
559,17052,4
1480382,5971511,0
1480382,3120512,1
1480382,4813228,2
1480382,764,3
1480382,41645,4
11324,6193,0
11324,103,1
11324,2282,2
11324,2201,3
11324,1812,4
560016,76788,0
560016,229123,1
560016,130990,2
560016,225163,3
560016,52768,4
541671,224513,0
541671,6384,1
541671,6972,2
541671,5657,3
541671,5168,4
337404,54693,0
337404,7056,1
337404,54811,2
337404,1294982,3
337404,1819918,4
106646,6193,0
106646,21007,1
106646,234352,2
