actor_id,name
73457,Chris Pratt
95101,Charlie Day
1397778,Anya Taylor-Joy
70851,Jack Black
298410,Keegan-Michael Key
65731,Sam Worthington
8691,Zoe Saldaña
10205,Sigourney Weaver
32747,Stephen Lang
566331,Oona Chaplin
30614,Ryan Gosling
7152,Sandra Hüller
2096164,James Ortiz
2320708,Lionel Boyce
1454946,Milana Vayntrub
1232756,Phoebe Dynevor
1842860,Whitney Peak
938,Djimon Hounsou
123879,Matt Nable
1331950,Andrew Lees
1308818,Piper Curda
452205,Bobby Moynihan
65717,Jon Hamm
11074,Kathy Najimy
54697,Dave Franco
976,Jason Statham
4088089,Bodhi Rae Breathnach
1537686,Naomi Ackie
1670,Daniel Mays
17477,Harriet Walter
17276,Gerard Butler
54882,Morena Baccarin
2054851,Roman Griffin Davis
1754784,Tommie Earl Jenkins
85151,Trond Fausa Aurvåg
74568,Chris Hemsworth
103,Mark Ruffalo
4587,Halle Berry
1290466,Barry Keoghan
1525043,Monica Barbaro
228208,Álvaro Rudolphy
947712,Sigrid Alegría
71408,Patricio Contreras
941061,María Izquierdo
590990,Boris Quercia
1474123,Caleb McLaughlin
17773,Gabrielle Union
1718307,Stephen Curry
1763709,Aaron Pierre
1267240,Nicola Coughlan
9206,Neve Campbell
14405,Courteney Cox
1972974,Isabel May
1508653,Jasmin Savoy Brown
2174509,Mason Gooding
1256603,Natsuki Hanae
9705,Takahiro Sakurai
81244,Akira Ishida
119145,Hiro Shimono
1253008,Yoshimasa Hosoya
53714,Rachel McAdams
527393,Dylan O'Brien
4477127,Edyll Ismail
352,Dennis Haysbert
109438,Xavier Samuel
6384,Keanu Reeves
21007,Jonah Hill
6941,Cameron Diaz
66743,Matt Bomer
194477,Susan Lucci
64295,Alan Ritchson
6065,Dennis Quaid
1388314,Stephan James
224181,Jai Courtney
65344,Esai Morales
225692,Jeremy Irvine
1685904,Hannah Emily Anderson
3131371,Evie Templeton
2438347,Pearse Egan
2486314,Nicola Alexis
1592855,Madelaine Petsch
3901,Richard Brake
1921268,Ema Horvath
222122,Gabriel Basso
3188261,Pedro Leandro
417,Ginnifer Goodwin
23532,Jason Bateman
690,Ke Huy Quan
1183672,Fortune Feimster
62861,Andy Samberg
1464650,Dafne Keen
1008607,Sophie Nélisse
2388828,Sky Yang
1993743,Jhaleil Swaby
117995,Alissa Skovbye
1483976,Maddie Ziegler
1452046,Lana Condor
963429,Iris Apatow
1815539,Millicent Simmonds
2749024,Avantika
1498158,Jessie Buckley
3894,Christian Bale
133,Peter Sarsgaard
37154,John Magaro
124377,Jeannie Berlin
115440,Sydney Sweeney
71070,Amanda Seyfried
1855143,Brandon Sklenar
2349355,Michele Morrone
20,Elizabeth Perkins
5064,Meryl Streep
1813,Anne Hathaway
5081,Emily Blunt
2283,Stanley Tucci
