movie_id,title,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,original_language
1226863,The Super Mario Galaxy Movie,2026-04-01,98,110000000,628589780,6.818,494,718.7308,en
83533,Avatar: Fire and Ash,2025-12-17,198,350000000,1485988186,7.37,2627,306.1776,en
687163,Project Hail Mary,2026-03-15,157,200000000,517836723,8.215,1507,263.6881,en
1290417,Thrash,2026-04-10,84,0,0,6.008,325,222.0529,en
1327819,Hoppers,2026-03-04,105,150000000,355337237,7.6,475,220.5682,en
502356,The Super Mario Bros. Movie,2023-04-05,93,100000000,1360879735,7.587,10488,202.3205,en
1290821,Shelter,2026-01-28,107,50000000,49754274,6.785,559,198.6925,en
840464,Greenland 2: Migration,2026-01-07,98,90000000,44856736,6.488,871,194.8899,en
1171145,Crime 101,2026-02-11,141,90000000,72559167,6.992,709,170.9671,en
20222,Sex with Love,2003-03-27,108,0,0,6.5,240,153.0266,es
1297842,GOAT,2026-02-11,100,90000000,185932659,7.914,407,145.776,en
1159559,Scream 7,2026-02-25,114,45000000,211982103,6.036,754,122.3201,en
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,156,20000000,733030221,7.683,797,119.9303,ja
1198994,Send Help,2026-01-22,113,40000000,94041481,7.022,1004,117.9549,en
1049471,Outcome,2026-04-06,84,0,0,5.332,103,107.7994,en
1265609,War Machine,2026-02-12,110,73000000,0,7.246,1458,107.6893,en
680493,Return to Silent Hill,2026-01-21,106,23000000,47372551,5.069,357,101.865,en
1010755,The Strangers: Chapter 3,2026-02-05,92,8500000,9191988,5.625,112,99.9048,en
1084242,Zootopia 2,2025-11-26,108,150000000,1868208796,7.601,2564,98.0254,en
1193501,Whistle,2026-01-20,100,2000000,4633854,6.027,242,94.6697,en
1084187,Pretty Lethal,2026-03-13,89,0,0,6.827,278,92.6789,en
1159831,The Bride!,2026-03-04,127,80000000,23744025,6.229,328,91.3881,en
1368166,The Housemaid,2025-12-18,131,35000000,401725460,7.207,1853,89.1327,en
350,The Devil Wears Prada,2006-06-29,109,35000000,326706115,7.39,12941,88.3481,en
1419406,The Shadow's Edge,2025-08-16,142,0,174400000,7.224,577,84.3346,zh
755898,War of the Worlds,2025-07-29,91,10000000,0,4.142,956,79.6585,en
